county,median income estimate,median income MOE,countyID
Adams,61927,1492,1
Allegheny,54357,456,2
Armstrong,45879,1396,3
Beaver,51887,1122,4
Bedford,46746,1360,5
Berks,57068,838,6
Blair,44033,1187,7
Bradford,51035,1656,8
Bucks,79559,1143,9
Butler,63345,1286,10
Cambria,42917,973,11
Cameron,40347,2806,12
Carbon,50822,1679,13
Centre,54407,1529,14
Chester,88995,1397,15
Clarion,42890,1704,16
Clearfield,43361,1203,17
Clinton,47163,1671,18
Columbia,46952,2170,19
Crawford,45637,1267,20
Cumberland,62640,1345,21
Dauphin,54968,830,22
Delaware,66576,837,23
Elk,47917,2502,24
Erie,47094,710,25
Fayette,40511,1113,26
Forest,36594,2748,27
Franklin,55751,1358,28
Fulton,49420,2138,29
Greene,49116,2446,30
Huntingdon,45250,1203,31
Indiana,45118,1248,32
Jefferson,43913,1261,33
Juniata,49028,1780,34
Lackawanna,46673,915,35
Lancaster,59237,893,36
Lawrence,45764,1392,37
Lebanon,56191,1457,38
Lehigh,57685,1210,39
Luzerne,46577,820,40
Lycoming,48731,1150,41
McKean,44023,1227,42
Mercer,45831,1303,43
Mifflin,42019,1777,44
Monroe,58980,2069,45
Montgomery,81902,743,46
Montour,55233,3017,47
Northampton,62753,1411,48
Northumberland,43701,1305,49
Perry,58585,2362,50
Philadelphia,39770,567,51
Pike,61199,2849,52
Potter,40921,1644,53
Schuylkill,46573,1151,54
Snyder,51110,1675,55
Somerset,45424,1346,56
Sullivan,44926,2015,57
Susquehanna,50160,1362,58
Tioga,48449,1306,59
Union,51349,2078,60
Venango,43885,1297,61
Warren,44977,1505,62
Washington,57534,1004,63
Wayne,50595,1668,64
Westmoreland,54142,762,65
Wyoming,53397,1999,66
York,59853,817,67
