county,code,NImpairedDriver2017
ADAMS,1,135
ALLEGHENY,2,1251
ARMSTRONG,3,84
BEAVER,4,165
BEDFORD,5,66
BERKS,6,457
BLAIR,7,144
BRADFORD,8,58
BUCKS,9,534
BUTLER,10,208
CAMBRIA,11,169
CAMERON,12,6
CARBON,13,55
CENTRE,14,103
CHESTER,15,473
CLARION,16,35
CLEARFIELD,17,70
CLINTON,18,32
COLUMBIA,19,79
CRAWFORD,20,111
CUMBERLAND,21,221
DAUPHIN,22,341
DELAWARE,23,440
ELK,24,35
ERIE,25,300
FAYETTE,26,158
FOREST,27,7
FRANKLIN,28,153
FULTON,29,18
GREENE,30,25
HUNTINGDON,31,46
INDIANA,32,82
JEFFERSON,33,38
JUNIATA,34,22
LACKAWANNA,35,276
LANCASTER,36,481
LAWRENCE,37,76
LEBANON,38,135
LEHIGH,39,396
LUZERNE,40,426
LYCOMING,41,132
MCKEAN,42,45
MERCER,43,142
MIFFLIN,44,58
MONROE,45,234
MONTGOMERY,46,677
MONTOUR,47,14
NORTHAMPTON,48,295
NORTHUMBERLAND,49,78
PERRY,50,75
PIKE,51,53
POTTER,52,19
SCHUYLKILL,53,143
SNYDER,54,27
SOMERSET,55,95
SULLIVAN,56,10
SUSQUEHANNA,57,44
TIOGA,58,41
UNION,59,33
VENANGO,60,65
WARREN,61,41
WASHINGTON,62,251
WAYNE,63,56
WESTMORELAND,64,388
WYOMING,65,41
YORK,66,505
PHILADELPHIA,67,664
