county,countyUpper,countycode
Adams,ADAMS,1
Allegheny,ALLEGHENY,2
Armstrong,ARMSTRONG,3
Beaver,BEAVER,4
Bedford,BEDFORD,5
Berks,BERKS,6
Blair,BLAIR,7
Bradford,BRADFORD,8
Bucks,BUCKS,9
Butler,BUTLER,10
Cambria,CAMBRIA,11
Cameron,CAMERON,12
Carbon,CARBON,13
Centre,CENTRE,14
Chester,CHESTER,15
Clarion,CLARION,16
Clearfield,CLEARFIELD,17
Clinton,CLINTON,18
Columbia,COLUMBIA,19
Crawford,CRAWFORD,20
Cumberland,CUMBERLAND,21
Dauphin,DAUPHIN,22
Delaware,DELAWARE,23
Elk,ELK,24
Erie,ERIE,25
Fayette,FAYETTE,26
Forest,FOREST,27
Franklin,FRANKLIN,28
Fulton,FULTON,29
Greene,GREENE,30
Huntingdon,HUNTINGDON,31
Indiana,INDIANA,32
Jefferson,JEFFERSON,33
Juniata,JUNIATA,34
Lackawanna,LACKAWANNA,35
Lancaster,LANCASTER,36
Lawrence,LAWRENCE,37
Lebanon,LEBANON,38
Lehigh,LEHIGH,39
Luzerne,LUZERNE,40
Lycoming,LYCOMING,41
McKean,MCKEAN,42
Mercer,MERCER,43
Mifflin,MIFFLIN,44
Monroe,MONROE,45
Montgomery,MONTGOMERY,46
Montour,MONTOUR,47
Northampton,NORTHAMPTON,48
Northumberland,NORTHUMBERLAND,49
Perry,PERRY,50
Philadelphia,PHILADELPHIA,51
Pike,PIKE,52
Potter,POTTER,53
Schuylkill,SCHUYLKILL,54
Snyder,SNYDER,55
Somerset,SOMERSET,56
Sullivan,SULLIVAN,57
Susquehanna,SUSQUEHANNA,58
Tioga,TIOGA,59
Union,UNION,60
Venango,VENANGO,61
Warren,WARREN,62
Washington,WASHINGTON,63
Wayne,WAYNE,64
Westmoreland,WESTMORELAND,65
Wyoming,WYOMING,66
York,YORK,67
